Dish Name,Ingredients
Chicken Biryani,"cardamom, saffron, rice, chicken, spices, yogurt"
Omelette,"salt, eggs, cheese, pepper"
Japanese Ramen,"noodles, ginger, broth, scallions"
Lasagna,"garlic, ground beef, tomato sauce, cheese, pasta, onion"
Grilled Chicken,"seasoning, garlic, chicken, lettuce, tomato"
Spring Rolls,"cabbage, peanut sauce, shrimp, carrots, rice paper"
Cereal,"honey, fruits, milk, nuts, oats"
Japanese Ramen,"ginger, broth, scallions, noodles, egg, pork"
Tacos,"salsa, lettuce, cheese, tortilla"
Japanese Ramen,"ginger, pork, egg, broth, noodles"
Caesar Salad,"Caesar dressing, parmesan, chicken, lettuce"
Beef Steak,"beef, garlic, salt, butter, pepper"
Grilled Chicken,"garlic, chicken, lettuce, tomato, seasoning"
Grilled Chicken,"garlic, seasoning, chicken, lettuce, tomato"
Pasta Carbonara,"tomato sauce, basil, cheese, olive oil, pasta"
Beef Steak,"butter, beef, garlic, pepper"
Sushi,"salmon, seaweed, avocado, rice, soy sauce"
BBQ Ribs,"brown sugar, pork, garlic, BBQ sauce, spices"
Beef Steak,"salt, beef, garlic, butter, pepper"
Cereal,"oats, milk, honey, nuts, fruits"
Omelette,"salt, eggs, pepper, onions, cheese, butter"
Spanish Paella,"onions, saffron, rice, peppers, seafood"
Lasagna,"cheese, ground beef, onion, garlic"
Omelette,"cheese, eggs, butter, salt, pepper, onions"
Clam Chowder,"celery, onion, potato, clam, cream"
Chicken Biryani,"rice, yogurt, saffron, spices, chicken"
Cereal,"milk, honey, fruits, nuts, oats"
Clam Chowder,"potato, onion, celery, cream, clam"
Spring Rolls,"carrots, rice paper, shrimp, cabbage, peanut sauce"
Grilled Chicken,"seasoning, chicken, tomato, garlic"
Tacos,"tortilla, salsa, cheese, lettuce"
Shawarma,"yogurt, cumin, chicken, pita"
Grilled Chicken,"chicken, lettuce, tomato, seasoning, garlic"
BBQ Ribs,"garlic, pork, spices, BBQ sauce"
Pasta Carbonara,"basil, olive oil, cheese, pasta, tomato sauce"
Tacos,"beef, lettuce, salsa, tortilla"
Pad Thai,"lime, shrimp, egg, rice noodles"
Grilled Chicken,"chicken, lettuce, garlic, seasoning"
Turkey Sandwich,"lettuce, bread, tomato, mayonnaise, turkey"
Greek Salad,"feta cheese, cucumber, lettuce, dressing"
Pasta Carbonara,"cheese, tomato sauce, olive oil, pasta"
Spring Rolls,"shrimp, peanut sauce, rice paper, cabbage"
Shawarma,"garlic, yogurt, cumin, chicken, pita"
Pho,"beef, chili, lime, basil"
Greek Salad,"cucumber, lettuce, feta cheese, olives, dressing, tomato"
Clam Chowder,"onion, clam, celery, cream, potato"
Pho,"lime, broth, chili, beef"
Clam Chowder,"cream, clam, onion, celery, potato"
Clam Chowder,"celery, potato, onion, clam"
Tacos,"lettuce, salsa, cheese, beef"
Pho,"rice noodles, beef, basil, broth"
Pad Thai,"egg, peanut, shrimp, rice noodles"
Caesar Salad,"lettuce, chicken, croutons, parmesan, Caesar dressing"
Pancakes,"flour, sugar, butter, eggs, milk, vanilla"
Greek Salad,"tomato, cucumber, lettuce, olives"
Clam Chowder,"onion, clam, celery, potato, cream"
Omelette,"salt, pepper, eggs, butter, cheese, onions"
Cereal,"fruits, nuts, honey, oats, milk"
Clam Chowder,"celery, potato, onion, cream, clam"
Clam Chowder,"clam, potato, cream, celery, onion"
Shawarma,"yogurt, chicken, cumin, garlic, pita"
Japanese Ramen,"egg, broth, noodles, ginger, scallions"
Pasta Carbonara,"cheese, tomato sauce, olive oil, pasta, basil"
Clam Chowder,"clam, celery, potato, onion"
Lasagna,"ground beef, cheese, garlic, onion, pasta, tomato sauce"
Turkey Sandwich,"mayonnaise, cheese, lettuce, turkey, bread, tomato"
Lasagna,"tomato sauce, cheese, pasta, garlic, onion"
Beef Steak,"butter, garlic, beef, pepper"
Japanese Ramen,"scallions, broth, pork, egg, ginger, noodles"
Pasta Carbonara,"olive oil, pasta, cheese, basil, tomato sauce"
Pancakes,"butter, milk, vanilla, sugar"
Caesar Salad,"chicken, lettuce, parmesan, croutons, Caesar dressing"
Spanish Paella,"onions, seafood, peppers, rice, saffron"
Grilled Chicken,"seasoning, garlic, tomato, chicken, lettuce"
Spanish Paella,"saffron, rice, onions, peppers, seafood"
Grilled Chicken,"lettuce, tomato, garlic, chicken, seasoning"
Omelette,"eggs, onions, butter, cheese, salt"
Tacos,"cheese, lettuce, salsa, beef, tortilla"
Greek Salad,"olives, lettuce, dressing, cucumber, tomato"
Cereal,"oats, milk, fruits, nuts, honey"
Dim Sum,"pork, dumpling wrapper, soy sauce, ginger"
Beef Steak,"salt, beef, butter, garlic"
Lasagna,"garlic, tomato sauce, onion, cheese, ground beef"
Dim Sum,"shrimp, dumpling wrapper, ginger, pork, soy sauce"
Caesar Salad,"Caesar dressing, chicken, croutons, lettuce, parmesan"
Caesar Salad,"chicken, croutons, parmesan, Caesar dressing"
Tacos,"beef, tortilla, salsa, cheese, lettuce"
Pho,"chili, beef, basil, rice noodles"
Cereal,"honey, nuts, oats, fruits"
Japanese Ramen,"egg, broth, noodles, pork, ginger, scallions"
Greek Salad,"dressing, feta cheese, tomato, cucumber, olives"
Grilled Chicken,"tomato, garlic, chicken, lettuce, seasoning"
Spanish Paella,"seafood, rice, onions, saffron"
Lasagna,"ground beef, garlic, pasta, cheese, tomato sauce"
Pad Thai,"egg, shrimp, lime, peanut, rice noodles"
Sushi,"rice, salmon, seaweed, soy sauce"
Japanese Ramen,"pork, noodles, ginger, egg"
Butter Chicken,"coconut milk, chicken, onions, spices, curry powder"
Butter Chicken,"chicken, spices, coconut milk, onions"
Turkey Sandwich,"bread, tomato, turkey, lettuce, cheese"
Pasta Carbonara,"olive oil, pasta, basil, tomato sauce, cheese"
Greek Salad,"dressing, cucumber, tomato, feta cheese, olives"
Beef Steak,"garlic, pepper, butter, salt, beef"
Caesar Salad,"lettuce, chicken, croutons, parmesan, Caesar dressing"
Cereal,"honey, oats, fruits, nuts, milk"
Shawarma,"chicken, garlic, pita, yogurt, cumin"
Pancakes,"sugar, flour, vanilla, butter, milk"
Sushi,"seaweed, rice, salmon, soy sauce, avocado"
Japanese Ramen,"scallions, egg, pork, broth, noodles"
Pasta Carbonara,"cheese, basil, olive oil, pasta"
Pasta Carbonara,"olive oil, tomato sauce, pasta, basil, cheese"
Shawarma,"chicken, yogurt, pita, garlic, cumin"
Spanish Paella,"seafood, rice, peppers, saffron, onions"
Lasagna,"cheese, garlic, ground beef, tomato sauce"
Pho,"rice noodles, broth, basil, chili"
Pad Thai,"peanut, lime, rice noodles, shrimp, egg"
Greek Salad,"tomato, cucumber, dressing, olives, feta cheese, lettuce"
Butter Chicken,"chicken, spices, onions, curry powder"
Shawarma,"pita, chicken, cumin, yogurt, garlic"
Pasta Carbonara,"cheese, basil, tomato sauce, pasta"
Clam Chowder,"potato, clam, celery, cream, onion"
Omelette,"pepper, salt, cheese, eggs, butter, onions"
Pancakes,"eggs, milk, flour, vanilla, sugar"
Beef Steak,"pepper, salt, beef, garlic, butter"
Spanish Paella,"onions, rice, saffron, seafood, peppers"
Lasagna,"garlic, ground beef, pasta, tomato sauce, cheese, onion"
Pad Thai,"shrimp, egg, peanut, lime, rice noodles"
Greek Salad,"olives, cucumber, tomato, lettuce"
Butter Chicken,"curry powder, spices, onions, coconut milk, chicken"
Sushi,"soy sauce, rice, avocado, seaweed, salmon"
Pancakes,"flour, sugar, milk, vanilla, eggs, butter"
Chicken Biryani,"yogurt, rice, cardamom, spices"
Cereal,"milk, oats, fruits, honey, nuts"
BBQ Ribs,"BBQ sauce, pork, brown sugar, spices, garlic"
Chicken Biryani,"cardamom, spices, saffron, yogurt, chicken"
Pasta Carbonara,"olive oil, cheese, pasta, tomato sauce, basil"
Shawarma,"cumin, yogurt, garlic, chicken, pita"
Tacos,"tortilla, salsa, cheese, beef"
Caesar Salad,"chicken, lettuce, croutons, parmesan"
Japanese Ramen,"egg, pork, broth, noodles, ginger"
Greek Salad,"dressing, feta cheese, olives, lettuce, tomato"
Omelette,"eggs, butter, cheese, onions, pepper, salt"
Greek Salad,"feta cheese, lettuce, cucumber, dressing, olives, tomato"
BBQ Ribs,"brown sugar, pork, garlic, BBQ sauce, spices"
BBQ Ribs,"pork, garlic, brown sugar, BBQ sauce, spices"
Pasta Carbonara,"olive oil, pasta, basil, cheese, tomato sauce"
Butter Chicken,"onions, curry powder, spices, coconut milk"
Chicken Biryani,"chicken, yogurt, spices, saffron"
Dim Sum,"soy sauce, ginger, shrimp, pork"
Shawarma,"garlic, chicken, yogurt, cumin"
Sushi,"soy sauce, avocado, rice, salmon"
Turkey Sandwich,"lettuce, turkey, mayonnaise, cheese, bread"
Sushi,"salmon, seaweed, rice, avocado, soy sauce"
Cereal,"fruits, milk, nuts, oats"
Butter Chicken,"chicken, coconut milk, curry powder, onions"
Dim Sum,"dumpling wrapper, ginger, pork, shrimp"
Omelette,"cheese, butter, onions, pepper, eggs"
Tacos,"beef, salsa, tortilla, lettuce"
Beef Steak,"beef, pepper, salt, butter, garlic"
Shawarma,"pita, cumin, chicken, yogurt, garlic"
Beef Steak,"beef, garlic, butter, pepper"
Pho,"lime, beef, rice noodles, chili, broth, basil"
Sushi,"rice, seaweed, salmon, soy sauce"
Tacos,"cheese, lettuce, salsa, tortilla, beef"
Turkey Sandwich,"tomato, bread, lettuce, turkey, cheese"
Cereal,"oats, honey, milk, fruits, nuts"
Caesar Salad,"chicken, parmesan, lettuce, croutons, Caesar dressing"
Beef Steak,"garlic, salt, pepper, beef, butter"
Turkey Sandwich,"turkey, tomato, bread, lettuce, mayonnaise"
Pho,"basil, rice noodles, lime, chili, beef"
Omelette,"onions, cheese, salt, butter"
Greek Salad,"cucumber, tomato, feta cheese, lettuce"
Pancakes,"butter, flour, sugar, milk, eggs, vanilla"
Pho,"lime, chili, basil, beef, rice noodles, broth"
Caesar Salad,"parmesan, croutons, lettuce, chicken, Caesar dressing"
Spring Rolls,"peanut sauce, carrots, shrimp, cabbage"
Butter Chicken,"spices, chicken, curry powder, onions, coconut milk"
Beef Steak,"salt, butter, pepper, beef"
Pancakes,"eggs, butter, sugar, flour"
Spanish Paella,"peppers, saffron, rice, onions, seafood"
Turkey Sandwich,"mayonnaise, bread, tomato, lettuce"
Chicken Biryani,"saffron, yogurt, spices, chicken, rice, cardamom"
Grilled Chicken,"garlic, lettuce, chicken, seasoning, tomato"
Pho,"rice noodles, lime, broth, beef, basil"
Grilled Chicken,"garlic, lettuce, tomato, chicken"
Pad Thai,"shrimp, egg, rice noodles, peanut"
Dim Sum,"shrimp, dumpling wrapper, soy sauce, ginger, pork"
Tacos,"lettuce, tortilla, beef, cheese"
Spanish Paella,"seafood, peppers, rice, onions, saffron"
Pancakes,"vanilla, butter, milk, sugar, eggs"
Chicken Biryani,"saffron, cardamom, spices, chicken, yogurt, rice"
Beef Steak,"salt, butter, pepper, garlic"
Turkey Sandwich,"cheese, tomato, lettuce, turkey, bread"
Greek Salad,"lettuce, dressing, cucumber, tomato, feta cheese"
Grilled Chicken,"garlic, chicken, seasoning, lettuce, tomato"
Beef Steak,"butter, pepper, beef, salt, garlic"
Shawarma,"pita, garlic, cumin, yogurt, chicken"
Pancakes,"vanilla, sugar, milk, eggs, butter"
Tacos,"salsa, lettuce, tortilla, beef, cheese"
Shawarma,"garlic, yogurt, chicken, pita"
Greek Salad,"olives, dressing, tomato, lettuce, cucumber"
Shawarma,"pita, yogurt, chicken, cumin"
Spring Rolls,"cabbage, shrimp, peanut sauce, carrots, rice paper"
Spring Rolls,"peanut sauce, shrimp, rice paper, cabbage, carrots"
Grilled Chicken,"seasoning, garlic, tomato, chicken, lettuce"
Turkey Sandwich,"bread, cheese, lettuce, turkey, tomato, mayonnaise"
Pancakes,"sugar, vanilla, milk, flour, butter, eggs"
Clam Chowder,"clam, onion, potato, cream, celery"
Cereal,"nuts, oats, honey, fruits, milk"
Greek Salad,"lettuce, olives, tomato, cucumber"
Chicken Biryani,"spices, chicken, yogurt, saffron, rice"
Pasta Carbonara,"pasta, olive oil, cheese, tomato sauce, basil"
Shawarma,"yogurt, garlic, chicken, cumin, pita"
Greek Salad,"dressing, cucumber, lettuce, tomato, olives, feta cheese"
Sushi,"seaweed, salmon, soy sauce, rice, avocado"
Sushi,"salmon, avocado, seaweed, soy sauce, rice"
Pancakes,"sugar, butter, milk, eggs"
Tacos,"tortilla, beef, cheese, lettuce, salsa"
BBQ Ribs,"pork, brown sugar, spices, garlic, BBQ sauce"
Beef Steak,"beef, pepper, butter, salt, garlic"
Shawarma,"yogurt, chicken, cumin, garlic"
Sushi,"rice, salmon, seaweed, soy sauce, avocado"
Shawarma,"pita, cumin, garlic, yogurt"
Pad Thai,"rice noodles, peanut, egg, shrimp, lime"
Spanish Paella,"rice, saffron, onions, peppers, seafood"
Pancakes,"vanilla, milk, sugar, eggs, flour"
Caesar Salad,"croutons, parmesan, Caesar dressing, chicken, lettuce"
Caesar Salad,"chicken, lettuce, Caesar dressing, parmesan"
Lasagna,"garlic, cheese, tomato sauce, pasta, ground beef"
Chicken Biryani,"spices, saffron, rice, cardamom, chicken"
Pho,"rice noodles, lime, broth, beef, basil, chili"
Dim Sum,"dumpling wrapper, pork, shrimp, ginger"
Greek Salad,"dressing, olives, feta cheese, lettuce, cucumber"
Chicken Biryani,"cardamom, yogurt, saffron, rice"
Shawarma,"yogurt, cumin, pita, garlic, chicken"
Spanish Paella,"saffron, peppers, seafood, onions"
Chicken Biryani,"rice, cardamom, saffron, spices"
Greek Salad,"lettuce, feta cheese, tomato, cucumber"
Omelette,"butter, onions, cheese, eggs, pepper, salt"
Butter Chicken,"onions, spices, coconut milk, chicken, curry powder"
Cereal,"honey, nuts, milk, fruits, oats"
Grilled Chicken,"chicken, garlic, tomato, lettuce"
Turkey Sandwich,"cheese, mayonnaise, tomato, turkey, lettuce, bread"
Spring Rolls,"shrimp, carrots, cabbage, rice paper, peanut sauce"
Cereal,"fruits, honey, milk, nuts"
Sushi,"rice, avocado, soy sauce, seaweed"
Sushi,"seaweed, soy sauce, salmon, avocado, rice"
Chicken Biryani,"saffron, spices, cardamom, yogurt, rice"
Beef Steak,"salt, butter, beef, garlic, pepper"
BBQ Ribs,"BBQ sauce, brown sugar, spices, garlic, pork"
Pho,"lime, rice noodles, chili, beef, basil"
Pasta Carbonara,"cheese, basil, tomato sauce, olive oil"
Pho,"lime, rice noodles, basil, broth, chili"
Pasta Carbonara,"basil, cheese, pasta, tomato sauce, olive oil"
Turkey Sandwich,"bread, mayonnaise, tomato, cheese, turkey"
Japanese Ramen,"ginger, noodles, egg, pork, scallions"
Shawarma,"cumin, garlic, chicken, yogurt"
Japanese Ramen,"pork, scallions, noodles, ginger, egg"
Pad Thai,"shrimp, peanut, egg, lime, rice noodles"
Chicken Biryani,"spices, saffron, cardamom, rice, chicken"
Japanese Ramen,"broth, pork, noodles, ginger, egg, scallions"
Pancakes,"butter, milk, flour, sugar, eggs, vanilla"
Butter Chicken,"curry powder, spices, coconut milk, onions, chicken"
Chicken Biryani,"yogurt, rice, spices, saffron, cardamom, chicken"
Sushi,"rice, soy sauce, seaweed, salmon, avocado"
Chicken Biryani,"saffron, cardamom, rice, chicken"
Tacos,"lettuce, beef, cheese, tortilla, salsa"
BBQ Ribs,"BBQ sauce, pork, garlic, spices"
Dim Sum,"soy sauce, dumpling wrapper, shrimp, ginger, pork"
Tacos,"salsa, lettuce, tortilla, beef, cheese"
Clam Chowder,"onion, cream, clam, celery, potato"
Pancakes,"flour, eggs, vanilla, butter, sugar, milk"
Spanish Paella,"seafood, rice, peppers, onions, saffron"
Lasagna,"garlic, tomato sauce, cheese, onion, ground beef"
Cereal,"milk, honey, fruits, nuts, oats"
Beef Steak,"garlic, pepper, salt, beef"
Japanese Ramen,"scallions, broth, pork, egg, noodles, ginger"
Pasta Carbonara,"olive oil, tomato sauce, pasta, basil, cheese"
Japanese Ramen,"noodles, egg, ginger, scallions"
Grilled Chicken,"lettuce, chicken, garlic, tomato, seasoning"
Spanish Paella,"onions, seafood, saffron, rice"
Pho,"beef, broth, chili, basil, rice noodles, lime"
Butter Chicken,"curry powder, coconut milk, chicken, onions, spices"
Shawarma,"cumin, garlic, yogurt, chicken, pita"
Shawarma,"garlic, pita, yogurt, chicken, cumin"
Beef Steak,"salt, garlic, beef, pepper"
Chicken Biryani,"chicken, cardamom, saffron, spices, yogurt, rice"
Omelette,"eggs, salt, onions, butter, pepper"
Lasagna,"tomato sauce, garlic, cheese, pasta, ground beef"
Greek Salad,"lettuce, tomato, olives, cucumber, feta cheese"
Omelette,"salt, cheese, onions, pepper, eggs"
Clam Chowder,"clam, cream, onion, celery, potato"
Pasta Carbonara,"basil, pasta, tomato sauce, cheese, olive oil"
Turkey Sandwich,"lettuce, cheese, bread, mayonnaise, tomato"
Spanish Paella,"peppers, onions, rice, saffron, seafood"
Grilled Chicken,"garlic, seasoning, lettuce, tomato, chicken"
Spanish Paella,"onions, saffron, peppers, rice, seafood"
Chicken Biryani,"saffron, chicken, cardamom, spices, rice"
Japanese Ramen,"broth, noodles, pork, scallions"
Japanese Ramen,"pork, broth, egg, scallions, noodles"
Spring Rolls,"cabbage, shrimp, rice paper, peanut sauce"
Japanese Ramen,"scallions, broth, ginger, egg, noodles"
Clam Chowder,"potato, clam, cream, celery, onion"
Beef Steak,"garlic, butter, pepper, salt, beef"
Pho,"beef, rice noodles, broth, lime"
Pho,"basil, broth, beef, chili, rice noodles, lime"
Sushi,"rice, soy sauce, avocado, salmon, seaweed"
Turkey Sandwich,"turkey, lettuce, cheese, bread"
Lasagna,"ground beef, garlic, tomato sauce, pasta, cheese"
Pho,"rice noodles, chili, broth, lime, beef"
Grilled Chicken,"seasoning, lettuce, tomato, chicken, garlic"
Dim Sum,"soy sauce, pork, ginger, dumpling wrapper"
Clam Chowder,"cream, celery, clam, potato"
Tacos,"lettuce, cheese, tortilla, salsa, beef"
Beef Steak,"salt, beef, garlic, butter, pepper"
Greek Salad,"olives, cucumber, feta cheese, tomato"
Shawarma,"garlic, cumin, chicken, pita, yogurt"
Omelette,"onions, butter, salt, pepper"
Beef Steak,"beef, butter, pepper, salt"
Beef Steak,"salt, beef, garlic, pepper, butter"
Pasta Carbonara,"cheese, basil, pasta, tomato sauce"
Butter Chicken,"coconut milk, onions, curry powder, chicken, spices"
Turkey Sandwich,"lettuce, bread, cheese, mayonnaise"
Greek Salad,"cucumber, olives, tomato, lettuce, feta cheese"
Dim Sum,"soy sauce, ginger, shrimp, pork, dumpling wrapper"
Beef Steak,"butter, salt, pepper, garlic"
Spring Rolls,"cabbage, rice paper, carrots, peanut sauce, shrimp"
Dim Sum,"soy sauce, shrimp, pork, dumpling wrapper"
Caesar Salad,"Caesar dressing, croutons, parmesan, lettuce, chicken"
Pad Thai,"egg, shrimp, rice noodles, lime, peanut"
Clam Chowder,"celery, clam, onion, potato, cream"
Tacos,"beef, lettuce, tortilla, cheese, salsa"
Greek Salad,"dressing, olives, feta cheese, lettuce, cucumber"
Butter Chicken,"coconut milk, spices, onions, chicken, curry powder"
Shawarma,"pita, yogurt, garlic, cumin"
Tacos,"tortilla, lettuce, beef, salsa"
BBQ Ribs,"brown sugar, spices, pork, BBQ sauce"
Spanish Paella,"rice, seafood, onions, saffron"
Clam Chowder,"cream, celery, clam, onion, potato"
Spanish Paella,"seafood, onions, peppers, rice"
Beef Steak,"beef, garlic, pepper, salt"
Chicken Biryani,"spices, yogurt, chicken, rice"
Sushi,"salmon, seaweed, rice, soy sauce, avocado"
Clam Chowder,"celery, clam, cream, potato, onion"
Turkey Sandwich,"tomato, turkey, bread, mayonnaise, cheese"
BBQ Ribs,"BBQ sauce, brown sugar, garlic, pork, spices"
Pho,"basil, rice noodles, beef, lime, chili, broth"
Tacos,"tortilla, salsa, beef, cheese, lettuce"
Cereal,"honey, milk, oats, fruits, nuts"
Cereal,"honey, nuts, fruits, oats, milk"
Turkey Sandwich,"bread, tomato, turkey, lettuce, cheese"
Chicken Biryani,"saffron, spices, yogurt, chicken, rice, cardamom"
Clam Chowder,"cream, potato, clam, celery"
Pancakes,"flour, vanilla, milk, eggs, butter, sugar"
Shawarma,"garlic, chicken, cumin, yogurt, pita"
Pancakes,"butter, sugar, flour, milk"
BBQ Ribs,"pork, garlic, spices, brown sugar, BBQ sauce"
Greek Salad,"lettuce, olives, tomato, cucumber"
Turkey Sandwich,"mayonnaise, bread, tomato, turkey"
Tacos,"beef, cheese, salsa, lettuce, tortilla"
BBQ Ribs,"BBQ sauce, brown sugar, spices, garlic, pork"
Grilled Chicken,"seasoning, chicken, lettuce, tomato"
Dim Sum,"shrimp, ginger, dumpling wrapper, pork, soy sauce"
Turkey Sandwich,"cheese, lettuce, tomato, bread"
Omelette,"cheese, onions, salt, eggs, butter, pepper"
Sushi,"avocado, seaweed, rice, soy sauce"
Clam Chowder,"onion, clam, cream, potato, celery"
Grilled Chicken,"garlic, lettuce, chicken, seasoning, tomato"
BBQ Ribs,"spices, brown sugar, garlic, BBQ sauce, pork"
Pasta Carbonara,"cheese, olive oil, tomato sauce, basil"
Pancakes,"eggs, milk, sugar, vanilla, flour, butter"
Chicken Biryani,"yogurt, saffron, rice, cardamom"
Shawarma,"cumin, pita, chicken, garlic, yogurt"
Cereal,"nuts, milk, oats, honey, fruits"
Lasagna,"tomato sauce, pasta, garlic, cheese"
Pho,"broth, beef, lime, rice noodles"
Spring Rolls,"rice paper, carrots, shrimp, cabbage"
Turkey Sandwich,"tomato, turkey, mayonnaise, lettuce"
Clam Chowder,"clam, onion, celery, potato, cream"
Pho,"rice noodles, beef, lime, chili"
Sushi,"soy sauce, salmon, rice, seaweed, avocado"
Omelette,"pepper, cheese, onions, butter, salt, eggs"
Spring Rolls,"cabbage, carrots, shrimp, rice paper, peanut sauce"
Pasta Carbonara,"olive oil, tomato sauce, basil, pasta, cheese"
Omelette,"butter, pepper, cheese, salt"
Clam Chowder,"onion, cream, potato, clam, celery"
Butter Chicken,"curry powder, coconut milk, spices, chicken, onions"
BBQ Ribs,"BBQ sauce, pork, brown sugar, spices, garlic"
Lasagna,"ground beef, tomato sauce, pasta, onion, cheese, garlic"
Butter Chicken,"onions, chicken, spices, curry powder, coconut milk"
Turkey Sandwich,"turkey, bread, cheese, lettuce, mayonnaise, tomato"
Beef Steak,"butter, garlic, beef, salt, pepper"
Turkey Sandwich,"cheese, lettuce, turkey, mayonnaise, bread"
Caesar Salad,"Caesar dressing, chicken, croutons, parmesan"
Spanish Paella,"rice, seafood, onions, saffron"
Dim Sum,"soy sauce, shrimp, dumpling wrapper, ginger, pork"
Spanish Paella,"rice, peppers, saffron, onions, seafood"
Shawarma,"garlic, yogurt, cumin, pita"
Pad Thai,"peanut, rice noodles, lime, egg, shrimp"
Grilled Chicken,"tomato, chicken, seasoning, lettuce, garlic"
Shawarma,"yogurt, cumin, pita, chicken, garlic"
Pad Thai,"peanut, rice noodles, egg, shrimp, lime"
Turkey Sandwich,"mayonnaise, tomato, bread, cheese, turkey, lettuce"
Omelette,"onions, pepper, cheese, salt, butter"
Shawarma,"pita, garlic, cumin, yogurt"
Sushi,"seaweed, salmon, avocado, soy sauce, rice"
Pad Thai,"shrimp, lime, rice noodles, egg, peanut"
Sushi,"soy sauce, rice, seaweed, salmon, avocado"
Lasagna,"onion, pasta, ground beef, garlic, tomato sauce, cheese"
Lasagna,"garlic, pasta, ground beef, tomato sauce"
Turkey Sandwich,"tomato, mayonnaise, lettuce, turkey"
Lasagna,"tomato sauce, pasta, cheese, ground beef"
Pasta Carbonara,"basil, pasta, tomato sauce, olive oil, cheese"
Clam Chowder,"potato, celery, clam, onion, cream"
Tacos,"beef, cheese, lettuce, tortilla, salsa"
Cereal,"honey, oats, milk, nuts"
Shawarma,"garlic, chicken, pita, yogurt, cumin"
Chicken Biryani,"chicken, spices, rice, yogurt, cardamom"
Lasagna,"tomato sauce, garlic, ground beef, cheese, pasta"
Grilled Chicken,"seasoning, lettuce, tomato, garlic, chicken"
Butter Chicken,"chicken, curry powder, spices, coconut milk, onions"
Grilled Chicken,"chicken, lettuce, tomato, garlic, seasoning"
Pad Thai,"peanut, rice noodles, shrimp, lime, egg"
Chicken Biryani,"yogurt, rice, spices, saffron, cardamom, chicken"
Pasta Carbonara,"pasta, basil, tomato sauce, cheese, olive oil"
Turkey Sandwich,"mayonnaise, tomato, cheese, lettuce"
Grilled Chicken,"seasoning, garlic, tomato, lettuce"
Japanese Ramen,"pork, noodles, scallions, ginger, egg"
Turkey Sandwich,"cheese, lettuce, turkey, mayonnaise, bread, tomato"
Sushi,"avocado, seaweed, rice, salmon"
Japanese Ramen,"scallions, ginger, broth, pork, egg"
Pasta Carbonara,"basil, tomato sauce, olive oil, cheese, pasta"
Spring Rolls,"rice paper, peanut sauce, cabbage, shrimp, carrots"
Clam Chowder,"celery, cream, onion, clam, potato"
Omelette,"pepper, salt, eggs, butter, onions"
Tacos,"salsa, lettuce, beef, cheese, tortilla"
Omelette,"salt, pepper, butter, onions, cheese, eggs"
Greek Salad,"cucumber, olives, lettuce, dressing, tomato, feta cheese"
Japanese Ramen,"scallions, noodles, broth, pork, ginger"
Sushi,"soy sauce, avocado, seaweed, rice, salmon"
Greek Salad,"feta cheese, dressing, olives, lettuce, tomato, cucumber"
Pasta Carbonara,"olive oil, basil, cheese, tomato sauce"
Dim Sum,"pork, dumpling wrapper, soy sauce, ginger, shrimp"
Pho,"lime, chili, rice noodles, basil, beef"
BBQ Ribs,"spices, garlic, BBQ sauce, pork, brown sugar"
Shawarma,"cumin, garlic, yogurt, chicken"
Dim Sum,"dumpling wrapper, shrimp, soy sauce, ginger, pork"
Spanish Paella,"seafood, saffron, rice, peppers"
Lasagna,"ground beef, cheese, tomato sauce, onion, garlic, pasta"
Turkey Sandwich,"turkey, cheese, mayonnaise, bread"
Pad Thai,"lime, peanut, rice noodles, shrimp"
Cereal,"nuts, honey, oats, fruits, milk"
Chicken Biryani,"rice, saffron, cardamom, spices"
Spring Rolls,"cabbage, shrimp, peanut sauce, rice paper, carrots"
Pad Thai,"egg, peanut, lime, shrimp, rice noodles"
Japanese Ramen,"noodles, ginger, egg, broth"
Japanese Ramen,"broth, egg, ginger, noodles"
Greek Salad,"dressing, olives, feta cheese, lettuce"
Chicken Biryani,"spices, saffron, rice, cardamom"
Butter Chicken,"chicken, curry powder, coconut milk, onions"
Lasagna,"garlic, tomato sauce, onion, cheese, pasta"
Pasta Carbonara,"olive oil, pasta, basil, cheese, tomato sauce"
Pancakes,"flour, milk, eggs, butter"
Sushi,"soy sauce, salmon, seaweed, rice"
Shawarma,"chicken, yogurt, garlic, pita, cumin"
Pad Thai,"peanut, egg, lime, shrimp, rice noodles"
Tacos,"lettuce, tortilla, salsa, cheese, beef"
Beef Steak,"garlic, butter, beef, pepper, salt"
Omelette,"pepper, cheese, onions, eggs, butter"
Sushi,"rice, soy sauce, salmon, seaweed"
Sushi,"rice, salmon, avocado, soy sauce, seaweed"
Butter Chicken,"onions, curry powder, spices, coconut milk, chicken"
Pancakes,"butter, milk, flour, vanilla, eggs, sugar"
Pho,"chili, lime, broth, rice noodles, beef"
Turkey Sandwich,"lettuce, tomato, turkey, cheese, mayonnaise"
Pasta Carbonara,"pasta, tomato sauce, olive oil, cheese"
Dim Sum,"soy sauce, shrimp, pork, dumpling wrapper"
Sushi,"rice, soy sauce, seaweed, avocado"
Clam Chowder,"clam, cream, celery, onion, potato"
Lasagna,"onion, cheese, garlic, pasta, ground beef, tomato sauce"
Cereal,"nuts, honey, fruits, oats"
Dim Sum,"soy sauce, dumpling wrapper, ginger, pork, shrimp"
Japanese Ramen,"noodles, ginger, pork, egg"
