Dish Name,Ingredients,Cluster,Cluster_Label
chicken biryani,"spices, chicken, yogurt, rice",2,Curries & Stews
sushi,"salmon, soy sauce, seaweed, avocado",2,Curries & Stews
turkey sandwich,"lettuce, bread, mayonnaise, cheese, turkey",6,Grilled & Roasted
pasta carbonara,"cheese, tomato sauce, olive oil, pasta, basil",1,Desserts & Pastries
bbq ribs,"garlic, spices, brown sugar, pork, bbq sauce",2,Curries & Stews
grilled chicken,"tomato, seasoning, lettuce, chicken",6,Grilled & Roasted
pho,"rice noodles, beef, broth, lime, basil",3,Baked Dishes
turkey sandwich,"bread, turkey, lettuce, mayonnaise, cheese, tomato",6,Grilled & Roasted
dim sum,"pork, soy sauce, shrimp, ginger, dumpling wrapper",4,Asian & Stir Fry
spring rolls,"peanut sauce, carrots, rice paper, shrimp, cabbage",3,Baked Dishes
chicken biryani,"chicken, saffron, cardamom, yogurt, rice, spice",2,Curries & Stews
pad thai,"peanut, lime, egg, rice noodles, shrimp",3,Baked Dishes
turkey sandwich,"cheese, lettuce, turkey, tomato",6,Grilled & Roasted
japanese ramen,"noodles, ginger, broth, egg, pork, scallion",4,Asian & Stir Fry
cereal,"fruits, nuts, oats, milk",0,Salads & Wraps
sushi,"seaweed, rice, avocado, salmon, soy sauce",2,Curries & Stews
greek salad,"cucumber, dressing, lettuce, tomato, olives, feta cheese",6,Grilled & Roasted
cereal,"nuts, fruits, honey, oat",0,Salads & Wraps
butter chicken,"chicken, curry powder, coconut milk, spices, onion",2,Curries & Stews
grilled chicken,"chicken, tomato, lettuce, seasoning",6,Grilled & Roasted
butter chicken,"coconut milk, onions, chicken, spice",2,Curries & Stews
greek salad,"olives, feta cheese, cucumber, lettuce, tomato, dressing",6,Grilled & Roasted
omelette,"pepper, cheese, butter, eggs, salt, onion",5,Breakfast & Brunch
chicken biryani,"cardamom, rice, spices, yogurt, saffron",2,Curries & Stews
butter chicken,"curry powder, chicken, spices, coconut milk, onion",2,Curries & Stews
grilled chicken,"chicken, tomato, garlic, seasoning",6,Grilled & Roasted
butter chicken,"onions, spices, chicken, coconut milk",2,Curries & Stews
chicken biryani,"rice, chicken, yogurt, spices, cardamom",2,Curries & Stews
spring rolls,"shrimp, rice paper, peanut sauce, carrot",3,Baked Dishes
clam chowder,"onion, cream, potato, celery, clam",1,Desserts & Pastries
shawarma,"pita, chicken, yogurt, garlic, cumin",2,Curries & Stews
lasagna,"onion, garlic, ground beef, tomato sauce, cheese",1,Desserts & Pastries
tacos,"beef, cheese, tortilla, salsa",6,Grilled & Roasted
omelette,"salt, pepper, eggs, butter",5,Breakfast & Brunch
sushi,"salmon, avocado, soy sauce, seaweed, rice",2,Curries & Stews
greek salad,"olives, tomato, lettuce, feta cheese, dressing",6,Grilled & Roasted
pancakes,"sugar, flour, vanilla, milk, eggs, butter",0,Salads & Wraps
spanish paella,"saffron, seafood, rice, peppers, onion",2,Curries & Stews
greek salad,"cucumber, feta cheese, tomato, lettuce, dressing, olive",6,Grilled & Roasted
butter chicken,"chicken, coconut milk, curry powder, onions, spice",2,Curries & Stews
bbq ribs,"spices, garlic, brown sugar, bbq sauce, pork",2,Curries & Stews
bbq ribs,"spices, garlic, pork, bbq sauce, brown sugar",2,Curries & Stews
bbq ribs,"brown sugar, garlic, spices, pork, bbq sauce",2,Curries & Stews
pancakes,"milk, flour, sugar, eggs, butter, vanilla",0,Salads & Wraps
spanish paella,"seafood, saffron, onions, rice, pepper",2,Curries & Stews
bbq ribs,"spices, pork, garlic, bbq sauce",2,Curries & Stews
tacos,"salsa, cheese, beef, lettuce",6,Grilled & Roasted
spring rolls,"shrimp, cabbage, peanut sauce, rice paper, carrot",3,Baked Dishes
dim sum,"soy sauce, dumpling wrapper, pork, ginger, shrimp",4,Asian & Stir Fry
turkey sandwich,"tomato, cheese, bread, turkey, mayonnaise, lettuce",6,Grilled & Roasted
pasta carbonara,"tomato sauce, olive oil, basil, pasta",1,Desserts & Pastries
turkey sandwich,"lettuce, turkey, mayonnaise, bread",6,Grilled & Roasted
butter chicken,"curry powder, onions, chicken, coconut milk, spice",2,Curries & Stews
butter chicken,"onions, chicken, coconut milk, curry powder, spice",2,Curries & Stews
turkey sandwich,"mayonnaise, bread, tomato, lettuce",6,Grilled & Roasted
pancakes,"vanilla, milk, flour, sugar, egg",0,Salads & Wraps
turkey sandwich,"tomato, mayonnaise, cheese, lettuce",6,Grilled & Roasted
butter chicken,"curry powder, onions, spices, coconut milk",2,Curries & Stews
lasagna,"onion, garlic, tomato sauce, pasta",1,Desserts & Pastries
lasagna,"onion, ground beef, cheese, tomato sauce, pasta",1,Desserts & Pastries
turkey sandwich,"bread, lettuce, turkey, cheese",6,Grilled & Roasted
greek salad,"tomato, feta cheese, lettuce, olives, cucumber, dressing",6,Grilled & Roasted
butter chicken,"onions, coconut milk, chicken, curry powder",2,Curries & Stews
grilled chicken,"seasoning, garlic, tomato, lettuce",6,Grilled & Roasted
shawarma,"cumin, pita, garlic, yogurt",2,Curries & Stews
japanese ramen,"ginger, pork, noodles, broth, egg",4,Asian & Stir Fry
lasagna,"cheese, pasta, tomato sauce, ground beef",1,Desserts & Pastries
pho,"broth, basil, rice noodles, beef, chili, lime",3,Baked Dishes
pasta carbonara,"tomato sauce, olive oil, cheese, basil",1,Desserts & Pastries
chicken biryani,"yogurt, rice, spices, cardamom, chicken",2,Curries & Stews
pancakes,"flour, sugar, vanilla, eggs, butter",0,Salads & Wraps
omelette,"onions, pepper, salt, butter, cheese",5,Breakfast & Brunch
lasagna,"ground beef, pasta, cheese, tomato sauce, garlic, onion",1,Desserts & Pastries
spanish paella,"seafood, onions, saffron, pepper",2,Curries & Stews
clam chowder,"clam, onion, cream, potato, celery",1,Desserts & Pastries
shawarma,"cumin, pita, garlic, chicken",2,Curries & Stews
tacos,"cheese, lettuce, salsa, tortilla, beef",6,Grilled & Roasted
lasagna,"onion, pasta, tomato sauce, ground beef",1,Desserts & Pastries
lasagna,"ground beef, pasta, tomato sauce, onion, cheese, garlic",1,Desserts & Pastries
japanese ramen,"noodles, pork, ginger, scallions, egg",4,Asian & Stir Fry
pho,"chili, rice noodles, beef, basil, broth",3,Baked Dishes
shawarma,"cumin, pita, chicken, yogurt",2,Curries & Stews
clam chowder,"potato, celery, cream, onion, clam",1,Desserts & Pastries
greek salad,"feta cheese, olives, dressing, lettuce",6,Grilled & Roasted
cereal,"fruits, nuts, honey, milk, oat",0,Salads & Wraps
tacos,"tortilla, beef, salsa, cheese, lettuce",6,Grilled & Roasted
chicken biryani,"cardamom, spices, yogurt, rice, chicken, saffron",2,Curries & Stews
grilled chicken,"lettuce, chicken, garlic, tomato, seasoning",6,Grilled & Roasted
clam chowder,"celery, onion, clam, cream, potato",1,Desserts & Pastries
pancakes,"butter, eggs, vanilla, sugar, flour, milk",0,Salads & Wraps
dim sum,"ginger, soy sauce, shrimp, dumpling wrapper",4,Asian & Stir Fry
sushi,"avocado, seaweed, rice, salmon, soy sauce",2,Curries & Stews
butter chicken,"spices, curry powder, chicken, coconut milk, onion",2,Curries & Stews
japanese ramen,"scallions, pork, broth, egg",4,Asian & Stir Fry
tacos,"salsa, beef, cheese, tortilla, lettuce",6,Grilled & Roasted
tacos,"lettuce, tortilla, cheese, salsa, beef",6,Grilled & Roasted
beef steak,"butter, garlic, salt, beef, pepper",5,Breakfast & Brunch
omelette,"onions, pepper, eggs, butter, cheese",5,Breakfast & Brunch
sushi,"seaweed, salmon, soy sauce, rice, avocado",2,Curries & Stews
pad thai,"lime, rice noodles, peanut, egg, shrimp",3,Baked Dishes
spring rolls,"carrots, peanut sauce, shrimp, cabbage",3,Baked Dishes
bbq ribs,"spices, pork, bbq sauce, brown sugar, garlic",2,Curries & Stews
clam chowder,"celery, potato, cream, clam, onion",1,Desserts & Pastries
chicken biryani,"cardamom, saffron, yogurt, rice, chicken",2,Curries & Stews
lasagna,"ground beef, onion, pasta, garlic",1,Desserts & Pastries
grilled chicken,"lettuce, seasoning, tomato, chicken",6,Grilled & Roasted
butter chicken,"coconut milk, onions, curry powder, spices, chicken",2,Curries & Stews
greek salad,"cucumber, olives, feta cheese, tomato, dressing",6,Grilled & Roasted
butter chicken,"curry powder, onions, coconut milk, chicken",2,Curries & Stews
japanese ramen,"pork, egg, scallions, broth, ginger",4,Asian & Stir Fry
cereal,"fruits, milk, oats, nut",0,Salads & Wraps
japanese ramen,"noodles, egg, pork, ginger",4,Asian & Stir Fry
chicken biryani,"cardamom, saffron, chicken, rice, spices, yogurt",2,Curries & Stews
tacos,"tortilla, salsa, lettuce, cheese",6,Grilled & Roasted
pho,"rice noodles, broth, basil, lime, chili, beef",3,Baked Dishes
lasagna,"tomato sauce, cheese, garlic, pasta, onion, ground beef",1,Desserts & Pastries
greek salad,"feta cheese, olives, tomato, lettuce, dressing, cucumber",6,Grilled & Roasted
chicken biryani,"rice, spices, saffron, cardamom",2,Curries & Stews
pho,"chili, beef, basil, rice noodle",3,Baked Dishes
spring rolls,"rice paper, cabbage, shrimp, carrots, peanut sauce",3,Baked Dishes
caesar salad,"caesar dressing, parmesan, lettuce, chicken",6,Grilled & Roasted
butter chicken,"coconut milk, spices, onions, chicken, curry powder",2,Curries & Stews
spring rolls,"shrimp, cabbage, peanut sauce, carrots, rice paper",3,Baked Dishes
greek salad,"cucumber, feta cheese, tomato, lettuce, olive",6,Grilled & Roasted
tacos,"tortilla, beef, lettuce, cheese",6,Grilled & Roasted
shawarma,"pita, cumin, yogurt, garlic",2,Curries & Stews
caesar salad,"parmesan, croutons, chicken, caesar dressing, lettuce",6,Grilled & Roasted
greek salad,"feta cheese, tomato, dressing, cucumber, lettuce",6,Grilled & Roasted
beef steak,"beef, salt, garlic, pepper",5,Breakfast & Brunch
turkey sandwich,"mayonnaise, turkey, cheese, lettuce",6,Grilled & Roasted
shawarma,"pita, yogurt, cumin, garlic",2,Curries & Stews
pho,"broth, basil, rice noodles, chili, beef, lime",3,Baked Dishes
pho,"chili, beef, rice noodles, lime",3,Baked Dishes
turkey sandwich,"cheese, mayonnaise, bread, turkey, lettuce, tomato",6,Grilled & Roasted
clam chowder,"onion, cream, clam, potato, celery",1,Desserts & Pastries
spring rolls,"cabbage, rice paper, peanut sauce, carrots, shrimp",3,Baked Dishes
clam chowder,"clam, cream, onion, potato",1,Desserts & Pastries
pho,"chili, broth, beef, lime, rice noodles, basil",3,Baked Dishes
chicken biryani,"rice, chicken, yogurt, saffron, spice",2,Curries & Stews
butter chicken,"spices, onions, curry powder, chicken, coconut milk",2,Curries & Stews
turkey sandwich,"turkey, bread, cheese, lettuce, tomato, mayonnaise",6,Grilled & Roasted
dim sum,"ginger, shrimp, pork, soy sauce, dumpling wrapper",4,Asian & Stir Fry
bbq ribs,"brown sugar, pork, spices, bbq sauce, garlic",2,Curries & Stews
omelette,"onions, pepper, butter, salt",5,Breakfast & Brunch
beef steak,"garlic, butter, pepper, beef, salt",5,Breakfast & Brunch
turkey sandwich,"lettuce, turkey, cheese, tomato",6,Grilled & Roasted
pasta carbonara,"tomato sauce, cheese, pasta, olive oil",1,Desserts & Pastries
caesar salad,"parmesan, lettuce, caesar dressing, chicken, crouton",6,Grilled & Roasted
caesar salad,"chicken, lettuce, croutons, caesar dressing, parmesan",6,Grilled & Roasted
lasagna,"cheese, tomato sauce, pasta, onion, ground beef",1,Desserts & Pastries
lasagna,"garlic, ground beef, cheese, pasta, onion, tomato sauce",1,Desserts & Pastries
caesar salad,"parmesan, lettuce, caesar dressing, crouton",6,Grilled & Roasted
beef steak,"pepper, beef, salt, garlic, butter",5,Breakfast & Brunch
pad thai,"peanut, shrimp, rice noodles, egg, lime",3,Baked Dishes
caesar salad,"chicken, croutons, caesar dressing, lettuce",6,Grilled & Roasted
spanish paella,"peppers, rice, onions, seafood, saffron",2,Curries & Stews
spring rolls,"rice paper, cabbage, peanut sauce, carrots, shrimp",3,Baked Dishes
spanish paella,"peppers, seafood, saffron, onions, rice",2,Curries & Stews
omelette,"eggs, cheese, salt, butter",5,Breakfast & Brunch
omelette,"onions, butter, cheese, egg",5,Breakfast & Brunch
lasagna,"tomato sauce, onion, garlic, cheese",1,Desserts & Pastries
butter chicken,"coconut milk, spices, chicken, onion",2,Curries & Stews
lasagna,"cheese, onion, tomato sauce, pasta",1,Desserts & Pastries
sushi,"seaweed, avocado, rice, soy sauce, salmon",2,Curries & Stews
tacos,"salsa, beef, lettuce, tortilla, cheese",6,Grilled & Roasted
pad thai,"egg, lime, peanut, shrimp, rice noodle",3,Baked Dishes
tacos,"salsa, lettuce, tortilla, cheese, beef",6,Grilled & Roasted
tacos,"beef, lettuce, tortilla, salsa, cheese",6,Grilled & Roasted
cereal,"honey, nuts, milk, fruit",0,Salads & Wraps
beef steak,"pepper, salt, beef, butter",5,Breakfast & Brunch
pancakes,"milk, eggs, sugar, flour, butter, vanilla",0,Salads & Wraps
pancakes,"eggs, flour, vanilla, sugar, butter",0,Salads & Wraps
omelette,"onions, butter, pepper, cheese, salt, egg",5,Breakfast & Brunch
tacos,"beef, cheese, tortilla, lettuce, salsa",6,Grilled & Roasted
clam chowder,"potato, cream, onion, clam",1,Desserts & Pastries
clam chowder,"cream, potato, celery, onion, clam",1,Desserts & Pastries
clam chowder,"celery, potato, clam, cream, onion",1,Desserts & Pastries
clam chowder,"potato, celery, cream, clam, onion",1,Desserts & Pastries
clam chowder,"onion, celery, clam, cream, potato",1,Desserts & Pastries
bbq ribs,"bbq sauce, garlic, pork, brown sugar, spice",2,Curries & Stews
caesar salad,"parmesan, chicken, croutons, lettuce",6,Grilled & Roasted
bbq ribs,"pork, garlic, spices, bbq sauce, brown sugar",2,Curries & Stews
greek salad,"feta cheese, dressing, lettuce, olive",6,Grilled & Roasted
pho,"broth, beef, chili, lime",3,Baked Dishes
turkey sandwich,"turkey, mayonnaise, tomato, lettuce, bread, cheese",6,Grilled & Roasted
chicken biryani,"saffron, yogurt, chicken, cardamom, rice, spice",2,Curries & Stews
pancakes,"flour, eggs, sugar, butter",0,Salads & Wraps
spanish paella,"saffron, onions, peppers, rice, seafood",2,Curries & Stews
clam chowder,"clam, cream, onion, potato, celery",1,Desserts & Pastries
turkey sandwich,"bread, turkey, lettuce, mayonnaise",6,Grilled & Roasted
dim sum,"dumpling wrapper, ginger, shrimp, soy sauce, pork",4,Asian & Stir Fry
japanese ramen,"broth, egg, noodles, ginger, scallions, pork",4,Asian & Stir Fry
caesar salad,"croutons, caesar dressing, lettuce, parmesan, chicken",6,Grilled & Roasted
chicken biryani,"saffron, cardamom, spices, yogurt",2,Curries & Stews
pho,"chili, broth, lime, basil",3,Baked Dishes
clam chowder,"cream, celery, clam, potato, onion",1,Desserts & Pastries
turkey sandwich,"mayonnaise, cheese, lettuce, bread",6,Grilled & Roasted
bbq ribs,"pork, garlic, brown sugar, bbq sauce",2,Curries & Stews
bbq ribs,"pork, spices, bbq sauce, brown sugar",2,Curries & Stews
pancakes,"butter, sugar, flour, milk, vanilla",0,Salads & Wraps
bbq ribs,"garlic, pork, brown sugar, bbq sauce",2,Curries & Stews
pasta carbonara,"tomato sauce, cheese, olive oil, basil, pasta",1,Desserts & Pastries
clam chowder,"celery, potato, clam, cream",1,Desserts & Pastries
butter chicken,"onions, curry powder, chicken, coconut milk, spice",2,Curries & Stews
pasta carbonara,"cheese, basil, olive oil, tomato sauce",1,Desserts & Pastries
spanish paella,"peppers, onions, rice, saffron, seafood",2,Curries & Stews
sushi,"seaweed, avocado, rice, salmon, soy sauce",2,Curries & Stews
pad thai,"lime, shrimp, peanut, egg",3,Baked Dishes
shawarma,"pita, cumin, garlic, chicken",2,Curries & Stews
cereal,"nuts, honey, fruits, oat",0,Salads & Wraps
lasagna,"ground beef, onion, garlic, pasta, tomato sauce, cheese",1,Desserts & Pastries
dim sum,"soy sauce, dumpling wrapper, ginger, shrimp, pork",4,Asian & Stir Fry
japanese ramen,"broth, scallions, egg, ginger",4,Asian & Stir Fry
tacos,"lettuce, tortilla, cheese, beef",6,Grilled & Roasted
beef steak,"pepper, butter, salt, garlic, beef",5,Breakfast & Brunch
omelette,"cheese, eggs, butter, salt",5,Breakfast & Brunch
pancakes,"eggs, sugar, vanilla, milk, butter",0,Salads & Wraps
pho,"broth, beef, chili, rice noodles, lime, basil",3,Baked Dishes
pasta carbonara,"basil, tomato sauce, cheese, pasta, olive oil",1,Desserts & Pastries
sushi,"seaweed, soy sauce, rice, salmon, avocado",2,Curries & Stews
pho,"basil, beef, chili, rice noodles, lime, broth",3,Baked Dishes
japanese ramen,"scallions, ginger, noodles, egg, broth",4,Asian & Stir Fry
chicken biryani,"saffron, yogurt, cardamom, rice, chicken",2,Curries & Stews
japanese ramen,"pork, egg, noodles, broth, ginger",4,Asian & Stir Fry
omelette,"butter, cheese, pepper, egg",5,Breakfast & Brunch
chicken biryani,"yogurt, spices, saffron, cardamom",2,Curries & Stews
spanish paella,"saffron, rice, onions, peppers, seafood",2,Curries & Stews
clam chowder,"cream, potato, onion, clam, celery",1,Desserts & Pastries
beef steak,"garlic, pepper, butter, beef",5,Breakfast & Brunch
pancakes,"flour, vanilla, sugar, butter, egg",0,Salads & Wraps
beef steak,"butter, salt, garlic, pepper, beef",5,Breakfast & Brunch
spanish paella,"rice, peppers, onions, seafood",2,Curries & Stews
bbq ribs,"spices, garlic, pork, brown sugar",2,Curries & Stews
tacos,"lettuce, salsa, beef, cheese, tortilla",6,Grilled & Roasted
pho,"chili, rice noodles, beef, lime, broth, basil",3,Baked Dishes
japanese ramen,"scallions, ginger, broth, pork, noodle",4,Asian & Stir Fry
japanese ramen,"noodles, scallions, egg, ginger, broth, pork",4,Asian & Stir Fry
pad thai,"peanut, rice noodles, lime, shrimp, egg",3,Baked Dishes
chicken biryani,"rice, yogurt, chicken, saffron, spices, cardamom",2,Curries & Stews
cereal,"fruits, honey, milk, oats, nut",0,Salads & Wraps
turkey sandwich,"cheese, tomato, turkey, lettuce, bread",6,Grilled & Roasted
cereal,"fruits, oats, nuts, honey, milk",0,Salads & Wraps
pasta carbonara,"olive oil, tomato sauce, cheese, basil, pasta",1,Desserts & Pastries
pasta carbonara,"basil, cheese, olive oil, tomato sauce",1,Desserts & Pastries
butter chicken,"curry powder, chicken, coconut milk, spices, onion",2,Curries & Stews
bbq ribs,"bbq sauce, pork, brown sugar, garlic",2,Curries & Stews
japanese ramen,"ginger, pork, scallions, egg",4,Asian & Stir Fry
japanese ramen,"ginger, broth, scallions, egg, pork, noodle",4,Asian & Stir Fry
greek salad,"olives, dressing, feta cheese, tomato",6,Grilled & Roasted
omelette,"eggs, salt, onions, butter",5,Breakfast & Brunch
greek salad,"tomato, cucumber, olives, lettuce, dressing, feta cheese",6,Grilled & Roasted
dim sum,"shrimp, ginger, pork, dumpling wrapper, soy sauce",4,Asian & Stir Fry
grilled chicken,"garlic, chicken, seasoning, tomato, lettuce",6,Grilled & Roasted
pho,"rice noodles, basil, broth, lime, chili",3,Baked Dishes
spanish paella,"peppers, onions, seafood, rice, saffron",2,Curries & Stews
cereal,"nuts, honey, oats, fruit",0,Salads & Wraps
bbq ribs,"garlic, brown sugar, spices, pork",2,Curries & Stews
beef steak,"butter, garlic, pepper, salt, beef",5,Breakfast & Brunch
turkey sandwich,"turkey, tomato, mayonnaise, bread",6,Grilled & Roasted
cereal,"milk, oats, nuts, honey",0,Salads & Wraps
pancakes,"flour, sugar, milk, egg",0,Salads & Wraps
pasta carbonara,"basil, olive oil, pasta, cheese, tomato sauce",1,Desserts & Pastries
pancakes,"flour, milk, vanilla, eggs, sugar, butter",0,Salads & Wraps
japanese ramen,"egg, scallions, ginger, noodle",4,Asian & Stir Fry
greek salad,"dressing, olives, lettuce, feta cheese",6,Grilled & Roasted
chicken biryani,"rice, cardamom, yogurt, chicken, saffron",2,Curries & Stews
cereal,"oats, fruits, nuts, milk, honey",0,Salads & Wraps
pad thai,"peanut, lime, shrimp, egg",3,Baked Dishes
pancakes,"eggs, butter, sugar, vanilla, milk",0,Salads & Wraps
turkey sandwich,"tomato, lettuce, mayonnaise, bread, turkey",6,Grilled & Roasted
pho,"lime, beef, basil, rice noodles, broth, chili",3,Baked Dishes
butter chicken,"spices, chicken, curry powder, coconut milk, onion",2,Curries & Stews
pho,"chili, beef, rice noodles, broth, lime",3,Baked Dishes
spanish paella,"rice, onions, saffron, seafood",2,Curries & Stews
clam chowder,"clam, potato, onion, cream",1,Desserts & Pastries
clam chowder,"clam, celery, cream, potato",1,Desserts & Pastries
spring rolls,"carrots, shrimp, rice paper, peanut sauce",3,Baked Dishes
greek salad,"tomato, feta cheese, olives, dressing",6,Grilled & Roasted
greek salad,"tomato, dressing, lettuce, cucumber, olive",6,Grilled & Roasted
turkey sandwich,"bread, cheese, tomato, mayonnaise",6,Grilled & Roasted
lasagna,"pasta, onion, tomato sauce, cheese, garlic",1,Desserts & Pastries
bbq ribs,"brown sugar, pork, garlic, bbq sauce, spice",2,Curries & Stews
lasagna,"garlic, cheese, pasta, onion, ground beef",1,Desserts & Pastries
caesar salad,"croutons, chicken, lettuce, caesar dressing",6,Grilled & Roasted
japanese ramen,"broth, noodles, pork, ginger",4,Asian & Stir Fry
turkey sandwich,"cheese, mayonnaise, tomato, turkey",6,Grilled & Roasted
cereal,"honey, oats, nuts, milk, fruit",0,Salads & Wraps
butter chicken,"coconut milk, spices, chicken, onions, curry powder",2,Curries & Stews
clam chowder,"cream, onion, clam, celery",1,Desserts & Pastries
japanese ramen,"scallions, ginger, broth, noodles, egg, pork",4,Asian & Stir Fry
grilled chicken,"garlic, seasoning, chicken, lettuce, tomato",6,Grilled & Roasted
grilled chicken,"garlic, chicken, tomato, seasoning, lettuce",6,Grilled & Roasted
spring rolls,"shrimp, peanut sauce, cabbage, rice paper",3,Baked Dishes
caesar salad,"parmesan, caesar dressing, lettuce, croutons, chicken",6,Grilled & Roasted
pho,"beef, broth, basil, lime, chili, rice noodle",3,Baked Dishes
pancakes,"sugar, eggs, milk, vanilla",0,Salads & Wraps
shawarma,"chicken, pita, cumin, yogurt, garlic",2,Curries & Stews
japanese ramen,"pork, egg, ginger, noodles, scallions, broth",4,Asian & Stir Fry
beef steak,"salt, pepper, garlic, butter, beef",5,Breakfast & Brunch
butter chicken,"spices, curry powder, coconut milk, onion",2,Curries & Stews
pho,"beef, lime, broth, basil, rice noodle",3,Baked Dishes
butter chicken,"onions, chicken, spices, coconut milk",2,Curries & Stews
shawarma,"garlic, pita, yogurt, chicken",2,Curries & Stews
greek salad,"cucumber, olives, lettuce, dressing, tomato, feta cheese",6,Grilled & Roasted
tacos,"tortilla, cheese, salsa, beef, lettuce",6,Grilled & Roasted
sushi,"soy sauce, seaweed, rice, salmon",2,Curries & Stews
butter chicken,"onions, spices, chicken, coconut milk, curry powder",2,Curries & Stews
spring rolls,"cabbage, rice paper, carrots, shrimp",3,Baked Dishes
greek salad,"olives, feta cheese, lettuce, dressing, cucumber",6,Grilled & Roasted
sushi,"rice, seaweed, soy sauce, avocado",2,Curries & Stews
pho,"lime, beef, rice noodles, chili, broth",3,Baked Dishes
cereal,"fruits, nuts, honey, oats, milk",0,Salads & Wraps
pancakes,"milk, sugar, flour, butter, egg",0,Salads & Wraps
omelette,"butter, pepper, salt, cheese, onion",5,Breakfast & Brunch
sushi,"salmon, soy sauce, rice, avocado, seaweed",2,Curries & Stews
chicken biryani,"cardamom, spices, yogurt, saffron",2,Curries & Stews
pancakes,"sugar, vanilla, flour, butter, milk, egg",0,Salads & Wraps
cereal,"nuts, fruits, honey, milk",0,Salads & Wraps
japanese ramen,"pork, ginger, broth, scallions, noodle",4,Asian & Stir Fry
beef steak,"garlic, salt, pepper, beef, butter",5,Breakfast & Brunch
greek salad,"lettuce, cucumber, olives, tomato, feta cheese",6,Grilled & Roasted
pho,"basil, broth, beef, lime, chili",3,Baked Dishes
spring rolls,"carrots, rice paper, shrimp, cabbage, peanut sauce",3,Baked Dishes
butter chicken,"chicken, spices, onions, curry powder",2,Curries & Stews
japanese ramen,"egg, broth, noodles, ginger, pork, scallion",4,Asian & Stir Fry
dim sum,"soy sauce, shrimp, ginger, dumpling wrapper, pork",4,Asian & Stir Fry
shawarma,"yogurt, cumin, garlic, chicken",2,Curries & Stews
pasta carbonara,"olive oil, pasta, tomato sauce, basil, cheese",1,Desserts & Pastries
pho,"broth, lime, basil, rice noodle",3,Baked Dishes
greek salad,"olives, cucumber, feta cheese, dressing, tomato",6,Grilled & Roasted
omelette,"salt, cheese, pepper, onion",5,Breakfast & Brunch
tacos,"cheese, lettuce, tortilla, beef, salsa",6,Grilled & Roasted
pancakes,"milk, sugar, butter, eggs, flour",0,Salads & Wraps
sushi,"salmon, avocado, rice, seaweed, soy sauce",2,Curries & Stews
pho,"basil, rice noodles, broth, lime, chili, beef",3,Baked Dishes
japanese ramen,"pork, noodles, egg, scallion",4,Asian & Stir Fry
pho,"chili, basil, beef, broth",3,Baked Dishes
pasta carbonara,"basil, tomato sauce, cheese, olive oil",1,Desserts & Pastries
lasagna,"tomato sauce, onion, ground beef, garlic",1,Desserts & Pastries
pancakes,"sugar, eggs, butter, vanilla, milk, flour",0,Salads & Wraps
shawarma,"garlic, cumin, chicken, yogurt, pita",2,Curries & Stews
turkey sandwich,"turkey, bread, mayonnaise, cheese, tomato",6,Grilled & Roasted
cereal,"oats, milk, fruits, honey, nut",0,Salads & Wraps
omelette,"butter, onions, cheese, eggs, salt",5,Breakfast & Brunch
bbq ribs,"brown sugar, spices, bbq sauce, garlic, pork",2,Curries & Stews
omelette,"salt, pepper, eggs, cheese, butter",5,Breakfast & Brunch
tacos,"cheese, salsa, beef, tortilla, lettuce",6,Grilled & Roasted
lasagna,"tomato sauce, ground beef, cheese, onion",1,Desserts & Pastries
sushi,"rice, salmon, avocado, soy sauce",2,Curries & Stews
beef steak,"salt, garlic, beef, pepper, butter",5,Breakfast & Brunch
bbq ribs,"garlic, spices, brown sugar, bbq sauce, pork",2,Curries & Stews
butter chicken,"curry powder, spices, coconut milk, chicken, onion",2,Curries & Stews
chicken biryani,"chicken, spices, saffron, cardamom, rice",2,Curries & Stews
omelette,"salt, onions, eggs, butter, cheese",5,Breakfast & Brunch
cereal,"nuts, honey, fruits, milk",0,Salads & Wraps
chicken biryani,"rice, cardamom, yogurt, spice",2,Curries & Stews
pad thai,"lime, peanut, rice noodles, egg, shrimp",3,Baked Dishes
pancakes,"butter, sugar, vanilla, flour, milk",0,Salads & Wraps
pancakes,"flour, eggs, butter, sugar, milk, vanilla",0,Salads & Wraps
turkey sandwich,"lettuce, mayonnaise, turkey, bread, cheese, tomato",6,Grilled & Roasted
pho,"lime, rice noodles, broth, beef, chili, basil",3,Baked Dishes
chicken biryani,"chicken, rice, saffron, yogurt, spices, cardamom",2,Curries & Stews
japanese ramen,"egg, noodles, scallions, pork, ginger",4,Asian & Stir Fry
greek salad,"lettuce, feta cheese, dressing, cucumber, tomato",6,Grilled & Roasted
beef steak,"salt, pepper, beef, butter",5,Breakfast & Brunch
pancakes,"flour, eggs, milk, butter, vanilla",0,Salads & Wraps
omelette,"salt, cheese, eggs, pepper, onion",5,Breakfast & Brunch
pasta carbonara,"pasta, cheese, olive oil, basil, tomato sauce",1,Desserts & Pastries
cereal,"oats, honey, fruits, nut",0,Salads & Wraps
chicken biryani,"rice, cardamom, spices, chicken",2,Curries & Stews
pancakes,"milk, vanilla, eggs, sugar, butter",0,Salads & Wraps
sushi,"avocado, soy sauce, rice, salmon, seaweed",2,Curries & Stews
grilled chicken,"lettuce, garlic, chicken, seasoning, tomato",6,Grilled & Roasted
dim sum,"soy sauce, dumpling wrapper, shrimp, ginger",4,Asian & Stir Fry
pasta carbonara,"cheese, olive oil, tomato sauce, basil",1,Desserts & Pastries
